,precision,recall,f1-score,support
Apple___Apple_scab,0.9604743083003953,0.9642857142857143,0.9623762376237623,504.0
Apple___Black_rot,0.9800796812749004,0.9899396378269618,0.984984984984985,497.0
Apple___Cedar_apple_rust,0.9976580796252927,0.9681818181818181,0.9826989619377162,440.0
Apple___healthy,0.9535783365570599,0.9820717131474104,0.9676153091265947,502.0
Blueberry___healthy,0.9933035714285714,0.9801762114537445,0.9866962305986696,454.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9548693586698337,0.976913730255164,421.0
Cherry_(including_sour)___healthy,0.9934497816593887,0.9978070175438597,0.9956236323851203,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9657894736842105,0.8951219512195122,0.9291139240506329,410.0
Corn_(maize)___Common_rust_,0.9854469854469855,0.9937106918238994,0.9895615866388309,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9196078431372549,0.9832285115303984,0.950354609929078,477.0
Corn_(maize)___healthy,1.0,0.989247311827957,0.9945945945945946,465.0
Grape___Black_rot,0.9550102249488752,0.989406779661017,0.9719042663891779,472.0
Grape___Esca_(Black_Measles),0.9935205183585313,0.9583333333333334,0.975609756097561,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9861111111111112,0.9906976744186047,0.988399071925754,430.0
Grape___healthy,0.9952830188679245,0.9976359338061466,0.9964580873671782,423.0
Orange___Haunglongbing_(Citrus_greening),0.996031746031746,0.9980119284294234,0.997020854021847,503.0
Peach___Bacterial_spot,0.9761388286334056,0.9803921568627451,0.9782608695652174,459.0
Peach___healthy,0.985981308411215,0.9768518518518519,0.9813953488372092,432.0
"Pepper,_bell___Bacterial_spot",0.9764453961456103,0.9539748953974896,0.9650793650793651,478.0
"Pepper,_bell___healthy",0.9040590405904059,0.9859154929577465,0.9432146294513956,497.0
Potato___Early_blight,0.9853249475890985,0.9690721649484536,0.9771309771309772,485.0
Potato___Late_blight,0.9294117647058824,0.977319587628866,0.9527638190954774,485.0
Potato___healthy,0.9790209790209791,0.9210526315789473,0.9491525423728814,456.0
Raspberry___healthy,0.984375,0.9910112359550561,0.9876819708846585,445.0
Soybean___healthy,0.9452830188679245,0.9920792079207921,0.9681159420289855,505.0
Squash___Powdery_mildew,1.0,0.9976958525345622,0.9988465974625144,434.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,444.0
Strawberry___healthy,0.9803921568627451,0.9868421052631579,0.9836065573770492,456.0
Tomato___Bacterial_spot,0.8900862068965517,0.971764705882353,0.9291338582677166,425.0
Tomato___Early_blight,0.9606741573033708,0.7125,0.8181818181818182,480.0
Tomato___Late_blight,0.9259259259259259,0.91792656587473,0.9219088937093276,463.0
Tomato___Leaf_Mold,0.9238900634249472,0.9297872340425531,0.926829268292683,470.0
Tomato___Septoria_leaf_spot,0.8514412416851441,0.8807339449541285,0.8658399098083427,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.835820895522388,0.9011494252873563,0.8672566371681416,435.0
Tomato___Target_Spot,0.7529182879377432,0.8468271334792122,0.7971163748712667,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.989247311827957,0.9387755102040817,0.9633507853403142,490.0
Tomato___Tomato_mosaic_virus,0.9948586118251928,0.8638392857142857,0.9247311827956989,448.0
Tomato___healthy,0.9041916167664671,0.9417879417879418,0.9226069246435845,481.0
accuracy,0.9547575688595493,0.9547575688595493,0.9547575688595493,0.9547575688595493
macro avg,0.956600827378295,0.9544743294022617,0.9545297397445075,17572.0
weighted avg,0.9566001718278799,0.9547575688595493,0.9546600939765956,17572.0
